code,name,all,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
E14000530,Aldershot,105168.0,1313.0,1401.0,1436.0,1294.0,1347.0,1491.0,1323.0,1356.0,1325.0,1269.0,1320.0,1223.0,1244.0,1189.0,1216.0,1217.0,1154.0,1090.0,1045.0,863.0,955.0,957.0,1041.0,1276.0,1241.0,1380.0,1333.0,1269.0,1429.0,1464.0,1622.0,1579.0,1604.0,1801.0,1572.0,1603.0,1493.0,1554.0,1512.0,1602.0,1529.0,1539.0,1395.0,1359.0,1511.0,1472.0,1550.0,1532.0,1515.0,1534.0,1443.0,1563.0,1554.0,1502.0,1566.0,1577.0,1477.0,1509.0,1363.0,1319.0,1199.0,1139.0,1079.0,1086.0,981.0,938.0,893.0,909.0,795.0,894.0,802.0,921.0,938.0,1048.0,722.0,757.0,717.0,687.0,581.0,544.0,511.0,513.0,455.0,449.0,362.0,317.0,322.0,230.0,186.0,179.0,802.0
E14000531,Aldridge-Brownhills,77683.0,783.0,789.0,840.0,784.0,822.0,908.0,897.0,852.0,883.0,890.0,878.0,941.0,893.0,895.0,911.0,853.0,835.0,818.0,764.0,686.0,661.0,689.0,735.0,821.0,818.0,779.0,867.0,929.0,887.0,903.0,879.0,857.0,896.0,847.0,834.0,920.0,839.0,919.0,886.0,823.0,854.0,850.0,778.0,753.0,841.0,898.0,922.0,985.0,1141.0,1152.0,1164.0,1176.0,1187.0,1217.0,1250.0,1176.0,1178.0,1162.0,1202.0,1116.0,1011.0,968.0,1012.0,965.0,900.0,831.0,801.0,777.0,771.0,799.0,875.0,945.0,967.0,1026.0,860.0,859.0,889.0,799.0,762.0,654.0,611.0,634.0,638.0,568.0,461.0,412.0,348.0,333.0,319.0,253.0,922.0
E14000532,Altrincham and Sale West,102444.0,943.0,1058.0,1130.0,1198.0,1390.0,1287.0,1416.0,1385.0,1527.0,1567.0,1517.0,1592.0,1581.0,1483.0,1483.0,1459.0,1335.0,1396.0,1224.0,712.0,596.0,725.0,802.0,879.0,846.0,962.0,961.0,881.0,993.0,989.0,959.0,1015.0,1106.0,1071.0,1212.0,1329.0,1371.0,1340.0,1470.0,1591.0,1473.0,1630.0,1527.0,1424.0,1408.0,1551.0,1487.0,1512.0,1656.0,1577.0,1531.0,1532.0,1503.0,1437.0,1469.0,1463.0,1433.0,1464.0,1354.0,1238.0,1180.0,1169.0,1196.0,1047.0,1007.0,1061.0,990.0,916.0,913.0,959.0,1021.0,989.0,1093.0,1053.0,876.0,871.0,884.0,777.0,667.0,594.0,585.0,610.0,557.0,511.0,455.0,436.0,376.0,346.0,311.0,292.0,1252.0
E14000533,Amber Valley,92277.0,815.0,902.0,932.0,1008.0,957.0,964.0,939.0,1037.0,1011.0,1058.0,1067.0,918.0,997.0,1006.0,1003.0,901.0,915.0,908.0,904.0,731.0,797.0,882.0,942.0,1011.0,1091.0,1125.0,1142.0,1214.0,1150.0,1270.0,1117.0,1130.0,1096.0,1133.0,1080.0,1148.0,1078.0,1122.0,1052.0,1097.0,1205.0,1062.0,920.0,998.0,1029.0,1103.0,1181.0,1208.0,1413.0,1375.0,1366.0,1463.0,1409.0,1486.0,1381.0,1469.0,1441.0,1436.0,1269.0,1250.0,1238.0,1222.0,1128.0,1138.0,1171.0,1093.0,1136.0,1128.0,1084.0,1079.0,1159.0,1192.0,1235.0,1333.0,946.0,920.0,959.0,834.0,732.0,621.0,543.0,562.0,515.0,466.0,409.0,350.0,327.0,318.0,237.0,191.0,897.0
E14000534,Arundel and South Downs,102673.0,789.0,779.0,903.0,938.0,984.0,1097.0,1052.0,1128.0,1189.0,1194.0,1252.0,1268.0,1211.0,1212.0,1178.0,1114.0,1118.0,1139.0,948.0,781.0,589.0,663.0,712.0,794.0,752.0,769.0,753.0,716.0,694.0,787.0,822.0,875.0,823.0,816.0,862.0,842.0,921.0,894.0,1014.0,1104.0,1159.0,1125.0,1091.0,1066.0,1091.0,1204.0,1292.0,1408.0,1490.0,1538.0,1440.0,1525.0,1592.0,1672.0,1699.0,1677.0,1713.0,1716.0,1614.0,1552.0,1488.0,1511.0,1552.0,1490.0,1413.0,1453.0,1394.0,1401.0,1420.0,1432.0,1468.0,1481.0,1639.0,1811.0,1432.0,1322.0,1315.0,1274.0,1055.0,884.0,1000.0,916.0,892.0,737.0,690.0,590.0,552.0,496.0,436.0,427.0,1562.0
E14000535,Ashfield,107711.0,1021.0,1131.0,1075.0,1249.0,1251.0,1229.0,1291.0,1339.0,1372.0,1427.0,1322.0,1292.0,1293.0,1287.0,1231.0,1189.0,1147.0,1154.0,1139.0,1025.0,973.0,1032.0,1108.0,1188.0,1296.0,1147.0,1292.0,1242.0,1359.0,1438.0,1406.0,1435.0,1444.0,1395.0,1422.0,1294.0,1243.0,1262.0,1239.0,1324.0,1337.0,1213.0,1150.0,1137.0,1241.0,1185.0,1285.0,1403.0,1524.0,1546.0,1596.0,1605.0,1624.0,1669.0,1616.0,1664.0,1546.0,1658.0,1475.0,1498.0,1482.0,1491.0,1281.0,1284.0,1228.0,1221.0,1193.0,1189.0,1180.0,1179.0,1260.0,1197.0,1292.0,1293.0,998.0,1025.0,1046.0,997.0,783.0,703.0,687.0,657.0,580.0,547.0,455.0,422.0,375.0,319.0,282.0,232.0,858.0
E14000536,Ashford,125537.0,1397.0,1367.0,1559.0,1648.0,1567.0,1676.0,1621.0,1730.0,1784.0,1709.0,1661.0,1728.0,1737.0,1660.0,1553.0,1544.0,1577.0,1493.0,1434.0,1090.0,980.0,1093.0,1179.0,1415.0,1279.0,1395.0,1376.0,1437.0,1535.0,1481.0,1447.0,1540.0,1497.0,1569.0,1489.0,1537.0,1520.0,1528.0,1491.0,1521.0,1562.0,1549.0,1566.0,1501.0,1527.0,1552.0,1624.0,1658.0,1780.0,1828.0,1861.0,1929.0,1925.0,1836.0,1968.0,1832.0,1867.0,1731.0,1705.0,1646.0,1511.0,1436.0,1362.0,1332.0,1305.0,1288.0,1213.0,1224.0,1283.0,1227.0,1281.0,1337.0,1468.0,1581.0,1165.0,1152.0,1116.0,1058.0,841.0,712.0,810.0,727.0,642.0,585.0,509.0,505.0,427.0,353.0,369.0,321.0,1106.0
E14000537,Ashton-under-Lyne,93835.0,1083.0,1238.0,1178.0,1233.0,1246.0,1199.0,1227.0,1194.0,1294.0,1210.0,1252.0,1155.0,1175.0,1137.0,1094.0,1116.0,1079.0,983.0,1040.0,884.0,899.0,1001.0,1036.0,1217.0,1265.0,1194.0,1249.0,1309.0,1318.0,1403.0,1332.0,1387.0,1390.0,1282.0,1312.0,1239.0,1285.0,1267.0,1236.0,1177.0,1178.0,1142.0,1001.0,1032.0,1060.0,1057.0,1087.0,1156.0,1279.0,1271.0,1293.0,1364.0,1336.0,1363.0,1370.0,1423.0,1369.0,1312.0,1287.0,1302.0,1146.0,1110.0,1071.0,1037.0,917.0,886.0,867.0,877.0,861.0,882.0,875.0,825.0,933.0,1023.0,694.0,741.0,728.0,734.0,623.0,504.0,528.0,477.0,489.0,421.0,355.0,294.0,263.0,219.0,227.0,183.0,548.0
E14000538,Aylesbury,127560.0,1531.0,1638.0,1732.0,1804.0,1808.0,1773.0,1789.0,1811.0,1880.0,1834.0,1764.0,1754.0,1672.0,1615.0,1498.0,1441.0,1417.0,1374.0,1336.0,1063.0,1019.0,1082.0,1108.0,1361.0,1489.0,1666.0,1543.0,1647.0,1734.0,1932.0,1758.0,1959.0,1973.0,1935.0,2002.0,2059.0,1886.0,1921.0,1975.0,2023.0,1938.0,1885.0,1774.0,1753.0,1706.0,1695.0,1790.0,1733.0,1712.0,1802.0,1785.0,1751.0,1777.0,1820.0,1774.0,1696.0,1753.0,1587.0,1531.0,1508.0,1481.0,1234.0,1367.0,1190.0,1060.0,1143.0,1077.0,1080.0,1071.0,1059.0,984.0,1117.0,1051.0,1180.0,798.0,880.0,856.0,774.0,731.0,610.0,625.0,597.0,539.0,509.0,478.0,447.0,340.0,360.0,274.0,258.0,1014.0
E14000539,Banbury,127518.0,1621.0,1643.0,1702.0,1701.0,1692.0,1663.0,1581.0,1614.0,1656.0,1753.0,1690.0,1656.0,1697.0,1695.0,1543.0,1552.0,1456.0,1481.0,1291.0,1064.0,1014.0,1074.0,1120.0,1358.0,1318.0,1293.0,1357.0,1423.0,1453.0,1417.0,1509.0,1582.0,1693.0,1804.0,1812.0,1940.0,1829.0,1896.0,1812.0,1870.0,1842.0,1775.0,1693.0,1592.0,1566.0,1685.0,1811.0,1774.0,1908.0,1769.0,1873.0,1931.0,1828.0,1885.0,1977.0,1822.0,1870.0,1772.0,1689.0,1557.0,1574.0,1421.0,1410.0,1374.0,1348.0,1292.0,1131.0,1217.0,1139.0,1197.0,1223.0,1260.0,1302.0,1333.0,1002.0,1031.0,954.0,957.0,800.0,651.0,683.0,698.0,612.0,560.0,508.0,497.0,394.0,324.0,313.0,314.0,1055.0
