total_income_lower_bound,total_income_upper_bound,employment_income_count,employment_income_amount,self_employment_income_count,self_employment_income_amount,state_pension_count,state_pension_amount,private_pension_income_count,private_pension_income_amount,property_income_count,property_income_amount,savings_interest_income_count,savings_interest_income_amount,dividend_income_count,dividend_income_amount,year
12570,15000.0,1617313,21188248221,418271,4413467024,1172836,11826062936,1280904,7133494286,123235,915876662,930742,75292588,87090,114735958,2022
15000,20000.0,4014377,67829340021,710977,8781241045,1933393,20074524141,2157907,18643993417,263525,2117911173,1982684,295609788,409517,1294016065,2022
20000,30000.0,7638005,182995057109,1007725,16805476353,2007068,20555725192,2426387,34918926059,466492,4542955025,3134286,553976946,849159,4506035072,2022
30000,40000.0,4812367,160342105127,589889,12992143892,859074,8751501824,1154939,23672423318,367090,4194733040,2013275,408383811,670784,6000584630,2022
40000,50000.0,3006948,123149855217,346450,9080447336,402000,4094287302,594931,15062584091,321211,4083433533,1291407,307220534,620441,11071531331,2022
50000,70000.0,2630421,140304691170,274622,8245838410,289939,2943023709,456486,14259907455,345406,5209269108,1127049,321084056,560827,13085662134,2022
70000,100000.0,1271798,95761122529,129824,5446310728,121174,1273645535,191935,8117995849,199996,3667590937,581997,224268287,310898,10218921999,2022
100000,150000.0,597630,64680084778,80650,5095131003,48942,534003641,75172,4299979467,117448,2333040513,234468,173374315,197751,7003732097,2022
150000,200000.0,206654,31836669131,38233,3912105875,13620,167514400,22631,1606409311,44907,1017860070,89484,84351723,80052,3648385291,2022
200000,300000.0,141418,30272381674,30994,4654653927,10896,212997356,15755,1297059502,33925,978464377,71443,95614320,63005,3870353880,2022
300000,500000.0,73471,23710330164,18593,4658553470,6747,170643744,8347,1009244028,19441,729769248,43753,86329166,40609,3621278715,2022
500000,1000000.0,40063,21986754528,13955,6604960307,3610,69570380,4026,515985187,10904,507445127,27446,107022725,27414,4415149392,2022
1000000,inf,20945,39783464634,9926,21651235668,1151,13592774,1863,321927859,7027,446636040,16075,236121715,18622,16942014951,2022
12570,inf,26071355,1003838434401,3670108,112341565037,6870448,70687092936,8391284,130859929828,2320606,30744984854,11544052,2968649630,3936170,85792401513,2022
12570,15000.0,843123,11236073687,261924,2985312131,573270,6295209438,613494,3281912515,66533,523610843,481988,45095368,48755,68304803,2023
15000,20000.0,2812617,44769791351,674970,8556479810,1833835,20625771473,2067113,16105512445,241655,2017275760,1712442,250305968,329578,1028052357,2023
20000,30000.0,7325103,167321241244,971036,16168318506,2308559,26070153401,2710874,36780181679,438386,4398726735,3236246,578420205,783261,3784124613,2023
30000,40000.0,5128594,157730546071,695222,14694800813,1123161,12600652842,1376781,27777000009,377434,4465903127,2105449,451095854,669749,6077939465,2023
40000,50000.0,3585416,142165783416,401701,10893258804,485785,5459480154,688282,17671918002,313829,4169001683,1378695,334807019,582446,8582336855,2023
50000,70000.0,3366673,168287105436,321676,9580842849,385986,4320363936,584437,18438376023,402500,6183111336,1412532,404071882,724464,17470410298,2023
