Variable,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034
afcs,1.0,1.017,1.024,1.054,1.238,1.238,1.238,1.238,1.238,1.238,1.238,1.238,1.238,1.238,1.238
alcohol_and_tobacco_consumption,1.0,1.021,1.136,1.263,1.295,1.318,1.352,1.39,1.424,1.424,1.424,1.424,1.424,1.424,1.424
capital_gains,1.0,1.14,1.322,0.996,1.033,1.043,1.2,1.307,1.435,1.435,1.435,1.435,1.435,1.435,1.435
childcare_expenses,1.0,1.039,1.144,1.209,1.229,1.248,1.269,1.294,1.32,1.32,1.32,1.32,1.32,1.32,1.32
clothing_and_footwear_consumption,1.0,1.039,1.144,1.209,1.229,1.248,1.269,1.294,1.32,1.32,1.32,1.32,1.32,1.32,1.32
communication_consumption,1.0,1.039,1.144,1.209,1.229,1.248,1.269,1.294,1.32,1.32,1.32,1.32,1.32,1.32,1.32
corporate_wealth,1.0,1.0,0.891,0.895,0.922,0.951,0.984,1.018,1.054,1.054,1.054,1.054,1.054,1.054,1.054
council_tax,1.0,1.0,1.028,1.1,1.157,1.215,1.28,1.347,1.347,1.347,1.347,1.347,1.347,1.347,1.347
diesel_spending,1.0,1.039,1.144,1.209,1.229,1.248,1.269,1.294,1.32,1.32,1.32,1.32,1.32,1.32,1.32
dividend_income,1.0,1.072,1.241,1.338,1.333,1.409,1.473,1.587,1.709,1.709,1.709,1.709,1.709,1.709,1.709
domestic_energy_consumption,1.0,1.121,2.025,1.971,1.521,1.404,1.318,1.351,1.404,1.404,1.404,1.404,1.404,1.404,1.404
education_consumption,1.0,1.039,1.144,1.209,1.229,1.248,1.269,1.294,1.32,1.32,1.32,1.32,1.32,1.32,1.32
employment_income,1.0,1.06,1.121,1.193,1.23,1.253,1.28,1.309,1.344,1.344,1.344,1.344,1.344,1.344,1.344
employment_income_before_lsr,1.0,1.06,1.121,1.193,1.23,1.253,1.28,1.309,1.344,1.344,1.344,1.344,1.344,1.344,1.344
food_and_non_alcoholic_beverages_consumption,1.0,1.021,1.136,1.263,1.295,1.318,1.352,1.39,1.424,1.424,1.424,1.424,1.424,1.424,1.424
gross_financial_wealth,1.0,1.014,0.904,0.908,0.935,0.965,0.998,1.032,1.069,1.069,1.069,1.069,1.069,1.069,1.069
health_consumption,1.0,1.039,1.144,1.209,1.229,1.248,1.269,1.294,1.32,1.32,1.32,1.32,1.32,1.32,1.32
