Variable,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034
afcs,0,0.017,0.007,0.029,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alcohol_and_tobacco_consumption,0,0.021,0.113,0.112,0.025,0.018,0.026,0.028,0.024,0.0,0.0,0.0,0.0,0.0,0.0
capital_gains,0,0.14,0.16,-0.247,0.037,0.01,0.151,0.089,0.098,0.0,0.0,0.0,0.0,0.0,0.0
childcare_expenses,0,0.039,0.101,0.057,0.017,0.015,0.017,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0
clothing_and_footwear_consumption,0,0.039,0.101,0.057,0.017,0.015,0.017,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0
communication_consumption,0,0.039,0.101,0.057,0.017,0.015,0.017,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0
corporate_wealth,0,0.0,-0.109,0.004,0.03,0.031,0.035,0.035,0.035,0.0,0.0,0.0,0.0,0.0,0.0
council_tax,0,0.0,0.028,0.07,0.052,0.05,0.053,0.052,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diesel_spending,0,0.039,0.101,0.057,0.017,0.015,0.017,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0
dividend_income,0,0.072,0.158,0.078,-0.004,0.057,0.045,0.077,0.077,0.0,0.0,0.0,0.0,0.0,0.0
domestic_energy_consumption,0,0.121,0.806,-0.027,-0.228,-0.077,-0.061,0.025,0.039,0.0,0.0,0.0,0.0,0.0,0.0
education_consumption,0,0.039,0.101,0.057,0.017,0.015,0.017,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0
employment_income,0,0.06,0.058,0.064,0.031,0.019,0.022,0.023,0.027,0.0,0.0,0.0,0.0,0.0,0.0
employment_income_before_lsr,0,0.06,0.058,0.064,0.031,0.019,0.022,0.023,0.027,0.0,0.0,0.0,0.0,0.0,0.0
